bib,
1.02823, 1.07542, 1.09629, 1.09556, 1.08299, 1.06643, 1.04855, 1.16654, 1.16045,
1.05315, 1.093, 1.11457, 1.1022, 1.0834, 1.06397, 1.04459, 1.02549,
1.02673, 1.04577, 1.0442, 1.03268, 1.01878, 1.00416, 0.989907,
1.08025, 1.01135, 1.00314, 0.992, 0.979964, 0.968166,
1.12096, 1.05572, 0.990274, 0.980669, 0.970984,
1.6156, 1.46965, 1.33499, 1.19688,
1.03024, 0.99938, 0.969568,
0.953077, 0.940592,
0.921279,
book1,
0.987345, 1.00649, 0.999867, 0.985544, 0.9709, 0.956756, 0.943018, 1.03276, 1.02926,
1.00253, 1.02449, 1.01808, 1.00431, 0.989725, 0.975488, 0.961633, 0.948166,
1.01073, 1.03024, 1.0232, 1.00996, 0.996054, 0.982436, 0.969169,
1.10062, 1.02381, 1.01659, 1.0049, 0.992774, 0.98086,
1.14989, 1.07008, 0.98876, 0.979926, 0.970998,
1.14181, 1.07505, 1.008, 0.949715,
1.07794, 1.03462, 0.992508,
0.988666, 0.969692,
0.919408,
book2,
0.98936, 1.02882, 1.04151, 1.03802, 1.02713, 1.01355, 0.999689, 1.0809, 1.0763,
0.984593, 1.00276, 0.996758, 0.985201, 0.973543, 0.961574, 0.949789, 0.938298,
1.01665, 1.05303, 1.06235, 1.05609, 1.04428, 1.03082, 1.01743,
1.10467, 1.04028, 1.04224, 1.03385, 1.02246, 1.01066,
1.15678, 1.083, 1.00586, 0.998196, 0.989316,
1.14628, 1.08194, 1.01869, 0.959924,
1.07536, 1.03569, 0.995917,
0.989209, 0.970499,
0.922037,
geo,
1.02956, 1.07167, 1.04697, 1.02412, 1.00354, 0.981541, 0.959796, 1.10504, 1.09862,
1.02684, 1.05227, 1.03264, 1.01307, 0.994158, 0.975946, 0.958393, 0.941451,
1.01292, 1.03004, 1.10013, 1.07522, 1.0515, 1.02722, 1.00348,
1.23154, 1.15675, 1.12803, 1.10294, 1.08015, 1.05475,
1.40634, 1.30043, 1.16081, 1.13387, 1.11043,
1.1944, 1.14732, 1.09205, 1.04055,
1.26461, 1.21733, 1.16461,
1.3427, 1.29766,
0.922915,
news,
0.970781, 0.999786, 1.01103, 1.01101, 1.00425, 0.994413, 0.983832, 1.05128, 1.04814,
0.994099, 1.03012, 1.04438, 1.0442, 1.0355, 1.02393, 1.01182, 0.999945,
1.00694, 1.03971, 1.04883, 1.04461, 1.03427, 1.02252, 1.01055,
1.08865, 1.03177, 1.03551, 1.02918, 1.01919, 1.00866,
1.13047, 1.07068, 1.00467, 0.999071, 0.991633,
1.11784, 1.06869, 1.01672, 0.966761,
1.06809, 1.03603, 1.00191,
0.999085, 0.98434,
0.949268,
obj1,
1.05258, 1.18966, 1.25092, 1.27318, 1.26701, 1.25279, 1.23664, 1.3231, 1.32606,
1.10021, 1.02911, 1.04876, 1.06073, 1.04941, 1.0376, 1.02605, 1.01476,
1.13189, 1.27854, 1.33861, 1.35987, 1.35429, 1.33976, 1.32338,
1.19346, 1.04784, 1.06622, 1.07886, 1.06746, 1.05566,
